objective,deploy,return,obstacle_name,obstacle_proximity,obstacle_resolved,behaviour_stage,next_point,speed,heading,next_point_direction,obstacle_direction,name,ivphelm_bhv_active
"Go to points 0, 1, 2 and then return to starting position.",true,false,none,none,false,in-transit,point0,low,southeast,southeast,none,alpha,waypt_survey
"Go to points 0, 1, 2 and then return to starting position.",true,false,none,none,false,in-transit,point0,moderate,southeast,southeast,none,alpha,waypt_survey
"Go to points 0, 1, 2 and then return to starting position.",true,false,none,none,false,in-transit,point0,moderate,southeast,southeast,none,alpha,waypt_survey
"Go to points 0, 1, 2 and then return to starting position.",true,false,none,none,false,in-transit,point0,moderate,southeast,southeast,none,alpha,waypt_survey
"Go to points 0, 1, 2 and then return to starting position.",true,false,none,none,false,in-transit,point0,moderate,southeast,southeast,none,alpha,waypt_survey
"Go to points 0, 1, 2 and then return to starting position.",true,false,none,none,false,in-transit,point0,fast,southeast,southeast,none,alpha,waypt_survey
"Go to points 0, 1, 2 and then return to starting position.",true,false,none,none,false,in-transit,point0,fast,southeast,southeast,none,alpha,waypt_survey
"Go to points 0, 1, 2 and then return to starting position.",true,false,none,none,false,in-transit,point0,fast,southeast,southeast,none,alpha,waypt_survey
"Go to points 0, 1, 2 and then return to starting position.",true,false,none,none,false,in-transit,point0,fast,southeast,southeast,none,alpha,waypt_survey
"Go to points 0, 1, 2 and then return to starting position.",true,false,none,none,false,in-transit,point0,fast,southeast,southeast,none,alpha,waypt_survey
"Go to points 0, 1, 2 and then return to starting position.",true,false,none,none,false,in-transit,point0,fast,southeast,southeast,none,alpha,waypt_survey
"Go to points 0, 1, 2 and then return to starting position.",true,false,none,none,false,in-transit,point0,very fast,southeast,southeast,none,alpha,waypt_survey
"Go to points 0, 1, 2 and then return to starting position.",true,false,none,none,false,in-transit,point0,very fast,southeast,southeast,none,alpha,waypt_survey
"Go to points 0, 1, 2 and then return to starting position.",true,false,none,none,false,in-transit,point0,very fast,southeast,southeast,none,alpha,waypt_survey
"Go to points 0, 1, 2 and then return to starting position.",true,false,none,none,false,in-transit,point0,very fast,southeast,southeast,none,alpha,waypt_survey
"Go to points 0, 1, 2 and then return to starting position.",true,false,none,none,false,in-transit,point0,very fast,southeast,southeast,none,alpha,waypt_survey
"Go to points 0, 1, 2 and then return to starting position.",true,false,none,none,false,in-transit,point0,very fast,southeast,southeast,none,alpha,waypt_survey
"Go to points 0, 1, 2 and then return to starting position.",true,false,none,none,false,in-transit,point0,very fast,southeast,southeast,none,alpha,waypt_survey
"Go to points 0, 1, 2 and then return to starting position.",true,false,none,none,false,in-transit,point0,very fast,southeast,southeast,none,alpha,waypt_survey
"Go to points 0, 1, 2 and then return to starting position.",true,false,none,none,false,in-transit,point0,very fast,southeast,southeast,none,alpha,waypt_survey
"Go to points 0, 1, 2 and then return to starting position.",true,false,none,none,false,in-transit,point0,very fast,southeast,southeast,none,alpha,waypt_survey
"Go to points 0, 1, 2 and then return to starting position.",true,false,none,none,false,in-transit,point0,very fast,southeast,southeast,none,alpha,waypt_survey
"Go to points 0, 1, 2 and then return to starting position.",true,false,none,none,false,in-transit,point0,very fast,southeast,southeast,none,alpha,waypt_survey
"Go to points 0, 1, 2 and then return to starting position.",true,false,none,none,false,in-transit,point0,very fast,southeast,southeast,none,alpha,waypt_survey
"Go to points 0, 1, 2 and then return to starting position.",true,false,none,none,false,in-transit,point0,very fast,southeast,southeast,none,alpha,waypt_survey
"Go to points 0, 1, 2 and then return to starting position.",true,false,none,none,false,in-transit,point0,very fast,southeast,southeast,none,alpha,waypt_survey
"Go to points 0, 1, 2 and then return to starting position.",true,false,none,none,false,in-transit,point0,very fast,southeast,southeast,none,alpha,waypt_survey
"Go to points 0, 1, 2 and then return to starting position.",true,false,none,none,false,in-transit,point0,very fast,southeast,southeast,none,alpha,waypt_survey
"Go to points 0, 1, 2 and then return to starting position.",true,false,none,none,false,in-transit,point0,very fast,southeast,southeast,none,alpha,waypt_survey
"Go to points 0, 1, 2 and then return to starting position.",true,false,none,none,false,in-transit,point0,very fast,southeast,southeast,none,alpha,waypt_survey
"Go to points 0, 1, 2 and then return to starting position.",true,false,none,none,false,in-transit,point0,very fast,southeast,southeast,none,alpha,waypt_survey
"Go to points 0, 1, 2 and then return to starting position.",true,false,none,none,false,in-transit,point0,very fast,southeast,southeast,none,alpha,waypt_survey
"Go to points 0, 1, 2 and then return to starting position.",true,false,none,none,false,in-transit,point0,very fast,southeast,southeast,none,alpha,waypt_survey
"Go to points 0, 1, 2 and then return to starting position.",true,false,none,none,false,in-transit,point0,very fast,southeast,southeast,none,alpha,waypt_survey
