deploy,return,station_keep,next_loiter_point,obstacle_name,obstacle_proximity,contact_range,contact_resolved,collision_avoidance_mode,speed,heading,loiter_point_direction,new_loiter_area,obstacle_direction,name,ivphelm_bhv_active
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
false,false,false,none,none,none,very far,false,none,idle,north,none,false,none,gilda,none
